date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:31:34	2575/2575	---M--	200	added ('OK')	application/javascript	date:Wed,%2021%20Nov%202018%2004:34:24%20GMT	https://sso.unej.ac.id/cas/webjars/store.js/1.3.17/store.min.js	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/store.js/1.3.17/store.min.js	(from https://sso.unej.ac.id/cas/login)
08:31:34	253669/253669	---M--	200	added ('OK')	application/javascript	date:Thu,%2005%20Oct%202017%2023:30:12%20GMT	https://sso.unej.ac.id/cas/webjars/jquery-ui/1.12.1/jquery-ui.min.js	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/jquery-ui/1.12.1/jquery-ui.min.js	(from https://sso.unej.ac.id/cas/login)
08:31:34	821604/821604	---M--	200	added ('OK')	application/javascript	date:Mon,%2014%20Aug%202017%2002:52:16%20GMT	https://sso.unej.ac.id/cas/webjars/zxcvbn/4.3.0/zxcvbn.js	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/zxcvbn/4.3.0/zxcvbn.js	(from https://sso.unej.ac.id/cas/login)
08:31:35	4263/4263	---M--	200	added ('OK')	application/javascript	date:Wed,%2028%20Aug%202019%2010:04:18%20GMT	https://sso.unej.ac.id/cas/themes/unej/js/cas.js	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/themes/unej/js/cas.js	(from https://sso.unej.ac.id/cas/login)
08:31:35	45229/45229	---MC-	200	added ('OK')	text/javascript	date:Thu,%2006%20Feb%202020%2000:21:02%20GMT	https://www.google-analytics.com/analytics.js	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/www.google-analytics.com/analytics.js	(from https://sso.unej.ac.id/cas/login)
08:31:37	61336/61336	---M--	200	added ('OK')	font/woff2	date:Wed,%2021%20Nov%202018%2004:34:26%20GMT	https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-brands-400.woff2	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-brands-400.woff2	(from https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/css/fontawesome-all.min.css)
08:31:37	111620/111620	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2021%20Nov%202018%2004:34:26%20GMT	https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-brands-400.eot?	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-brands-400d41d.eot	(from https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/css/fontawesome-all.min.css)
08:31:37	111620/111620	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2021%20Nov%202018%2004:34:26%20GMT	https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-brands-400.eot	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-brands-400.eot	(from https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/css/fontawesome-all.min.css)
08:31:38	71560/71560	---M--	200	added ('OK')	font/woff	date:Wed,%2021%20Nov%202018%2004:34:26%20GMT	https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-brands-400.woff	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-brands-400.woff	(from https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/css/fontawesome-all.min.css)
08:31:39	111384/111384	---M--	200	added ('OK')	font/ttf	date:Wed,%2021%20Nov%202018%2004:34:26%20GMT	https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-brands-400.ttf	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-brands-400.ttf	(from https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/css/fontawesome-all.min.css)
